Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
A pair of vases,Decoration Pieces,"Dr.  Tariq  Hassan,  Advisor
to Finance Minister",Gen Mush,2004-05-21,500.0,0.0,Yes,Yes
One Chess Set,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-25,3200.0,0.0,Yes,Yes
"One decoration piece
(silver)",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-05-25,10000.0,0.0,Yes,Yes
"One  Silver  Picture
Frame",,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-05-25,800.0,0.0,Yes,Yes
"One  Gown
(embroidered)",,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-05-25,3000.0,0.0,Yes,Yes
"a. One  Cloth  (table
Mat)
b. One Pair of Stud",,"Dr.  Abdul  Hafeez  Sheikh,
Minister for Privatization",Gen Mush,2004-05-27,17040.0,1056.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Syed  Afzal  Hussain  Shah,
Protocol  Officer,  Foreign
Affairs",Military,2004-05-29,18000.0,1200.0,Yes,Yes
"One decoration piece
(Tankard)",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-05-31,3000.0,0.0,Yes,Yes
One Golden Shield,,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-05-31,0.0,0.0,Yes,Yes
One woolen carpet,Carpet,"Waqar  Mehsood  Khan,
Secretary,  Economic
Affairs Division",Bureaucracy,2004-05-31,8000.0,0.0,Yes,Yes
"One  wrist  watch
Rama (Swiss)",Watch,"Mr.  Shafkat  Saeed,
Additional  Secretary,  M/o
Foreign Affairs",Bureaucracy,2004-05-31,45000.0,5250.0,Yes,Yes
"a. Gents wrist watch
(Frank Muller)
b. Ladies  wrist
watch  (Frank
Muller)
c. Leather hand bag",Watch,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-06-01,302500.0,43875.0,Yes,Yes
"One  Model  of  Khana
Ka’bah",,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-06-02,50000.0,6000.0,Yes,Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  wrist  watch
Bvlgari (ladies)",Watch,"Mir Abdul Rahman Jamali,
Minister  of  S&GAD,
Government  of
Balochistan",Gen Mush,2004-06-02,107000.0,14550.0,Yes,Yes
"One  concord  wrist
watch",Watch,"Mr.  Abdul  Wahid,
photographer,  President",Media,2004-06-03,15000.0,750.0,Yes,Yes
"a. Small  flower
basket
b. One tie
c. Agar Batti",,"Waqar  Mehsood  Khan,
Secretary,  Economic
Affairs Division",Bureaucracy,2004-06-03,1050.0,0.0,Yes,Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  wrist  watch
Bvlgari (ladies)",Watch,"Wg.  Cdr.  Waqar  Ahmed,
Deputy  Military  Secretary
to the Prime Minister",Military,2004-06-03,107000.0,14550.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Major  Gul  Muhammad
Saqib,  OSD  (Admn),
Prime Minister Sectt.",Military,2004-06-03,18000.0,1200.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Sqd.  Ld.  Anwar  Karim,
ADC to the Prime Minister",Military,2004-06-03,18000.0,1200.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Dr.  Asif  Irfan,  Medical
Officer,  Prime  Minister
Sectt.",Bureaucracy,2004-06-03,18000.0,1200.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Aurangzeb  Khan,
Comptroller  Household
Prime Minister Sectt.",Bureaucracy,2004-06-03,18000.0,1200.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Nazir  Ahmed  Saeed,
Protocol  Assistant  Prime
Minister Sectt.",Bureaucracy,2004-06-03,18000.0,1200.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Inspector, Khalid Nadeem
Khan, Gunman",Police,2004-06-03,18000.0,1200.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Malik  Arshad
Mahmood,  sub.
Inspector,  Gunman,
Prime  Minister’s
Secretariat",Police,2004-06-03,18000.0,1200.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Zafar  Iqbal,  SSG
Gunman Prime  Ministers
Secretariat",Police,2004-06-03,18000.0,0.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr. M. Riaz, Constable",Police,2004-06-03,18000.0,0.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Munir  Ahmed  Caretaker,
Prime Minister Sectt.",Bureaucracy,2004-06-03,18000.0,0.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Haji  Tora  Khan,  Valet
Prime Minister Sectt.",Bureaucracy,2004-06-03,18000.0,0.0,Yes,Yes
"One  Wooden  Flower
Vase",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen Mush,2004-06-05,1800.0,0.0,Yes,Yes
"a. One  wrist  watch
Bvlgari
b. One  wrist  watch
Bvlgari",Watch,"Mr.  Awais  Ahmed  Khan,
Leghari,  Minister  of  IT
&Telecom",Gen Mush,2004-06-08,85000.0,11250.0,Yes,Yes
"Two  decoration
piece of vases",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-06-09,1000.0,0.0,Yes,Yes
One decoration piece,Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-06-09,500.0,0.0,Yes,Yes
"One decoration piece
(silver)",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime Minister  of
Pakistan",Gen Mush,2004-06-10,3000.0,0.0,Yes,Yes
"a. One  wrist  watch
Bvlgari gents
b. One  wrist  watch
Bvlgari ladies",Watch,"Brig  Retd.  Mian  Khalid
Habib,  Chief  protocol,
Foreign Affairs",Military,2004-06-11,107000.0,14550.0,Yes,Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  wrist  watch
Bvlgari (ladies)",Watch,"Mian  Waheeduddin,  PSO
to the Prime Minister",Gen Mush,2004-06-14,107000.0,14550.0,Yes,Yes
"A  Waterman  Paris
Pen",Pen,"Brig. ®Mian Khalid Habib,
Chief  of  Protocol,  Foreign
Affairs",Military,2004-06-15,3200.0,0.0,Yes,Yes
One woolen carpet,Carpet,"Brig. ®Mian Khalid Habib,
Chief  of  Protocol,  Foreign",Military,2004-06-15,5000.0,0.0,Yes,Yes
"One  concord  wrist
watch",Watch,"Admiral  (Retd.)  Abdul
Aziz  Mirza,  Ambassador
of Pakistan",Military,2004-06-21,15000.0,750.0,Yes,Yes
"One  wrist  watch
concord",Watch,"Lt.  Col.  M.  Samrez  Salik,
APS(C)",Military,2004-06-23,15000.0,750.0,Yes,Yes
"One  wrist  watch
concord",Watch,"Maj.  Sher  Ali  Baz,
Security Officer",Military,2004-06-23,15000.0,750.0,Yes,Yes
"One  wrist  watch
concord",Watch,"Maj.  Abdul  Basit,  Staff
Surgeon to Chief of  Army
Staff",Military,2004-06-24,15000.0,750.0,Yes,Yes
"a. A  table  set
(maroon color)
b. A tie
c. A ball point (Mont
Blanc)",,"Mr.  Jahangir  Khan,
Minister  for  Industries  &
Production",Gen Mush,2004-06-29,19500.0,0.0,Auctioned,"Auctioned
a. For
Rs.1,500/-
b. For
Rs.1,770/
c. For
Rs.11,000/-"
"Water  Container
(decoration piece)",Decoration Pieces,"Col.  Salik  Nawaz,  Deputy
Chief  of  Protocol,  Foreign
Affairs",Military,2004-07-02,1800.0,0.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Abdul  Hameed.
Controller  News reporter,
PBC",Media,2004-07-06,18000.0,1200.0,Yes,Yes
"A  Waterman  Paris
Pen",Pen,"Col.  Salik  Nawaz,  Deputy
Chief  of  Protocol,  Foreign
Affairs",Military,2004-07-12,3200.0,0.0,Yes,Yes
One woolen carpet,Carpet,Foreign Secretary,Bureaucracy,2004-07-14,5000.0,0.0,Yes,Yes
"A  Waterman  Paris
Pen",Pen,Foreign Secretary,Bureaucracy,2004-07-14,3200.0,0.0,Yes,Yes
"a. One carpet
b. One  picture
frame
c. One brass vas",Carpet,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-07-22,42700.0,7365.0,Yes,Yes
"a. One broach
b. One plate
c. One  crystal
decoration block
d. One bowl",Decoration Pieces,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-07-22,7500.0,0.0,Yes,Yes
"a. One  decoration
piece
b. One bowl crystal
c. One bowl blue
d. One  (printed
cloth)  Crystal
bowl",Decoration Pieces,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-07-22,7300.0,0.0,Yes,Yes
Wrist Watch Roberge,Watch,"Admiral  ®  Abdul  Aziz
Mirza,  Ambassador  of
Pakistan in Saudi Arabia",Military,2004-07-25,25000.0,2250.0,Yes,Yes
"a. Model  of  Masjid-
e-Nabvi
b. Holy  Quran  +  32
audio
c. Piece of Ghulaf-e-
Kabah
d. MP-5 Gun",Weapons,"Ch.  Shujat  Hussain,
Prime Minister of Pakistan",Gen Mush,2004-07-26,200000.0,28500.0,Yes,Yes
"a. One Carpet
b. One Saree",Carpet,"Ch.  Shujat  Hussain,
Prime Minister of Pakistan",Gen Mush,2004-07-26,8500.0,0.0,Yes,Yes
Book,,"Ch.  Shujat  Hussain,
Prime Minister of Pakistan",Gen Mush,2004-07-26,0.0,0.0,Yes,Yes
Decoration piece,Decoration Pieces,"Ch.  Shujat  Hussain,
Prime Minister of Pakistan",Gen Mush,2004-07-26,8000.0,0.0,Yes,Yes
"a. Set of cufflinks
b. One tie",,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-07-27,3000.0,0.0,Yes,Yes
Wrist Watch Roberge,Watch,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary",Military,2004-07-27,25000.0,2250.0,Yes,Yes
"One  Painting  duly
framed",,"Mir  Zafarullah  Khan
Jamali,  Ex-Prime  Minister
of Pakistan",Gen Mush,2004-07-28,3000.0,0.0,Yes,Yes
Wrist Watch Roberge,Watch,"Muhammad  Saeed  Khan,
Deputy  Chief  of  Protocol
(V-I), Foreign Affairs",Military,2004-07-28,25000.0,2250.0,Yes,Yes
"Six  Packet  of  Herbal
Tea and a CD",Crockery,"Syed  Abrar  Hussain,
Director (SAARC), Foreign
Affairs",Gen Mush,2004-07-31,900.0,0.0,Yes,Yes
A wall hanging plate,,"Syed  Abrar  Hussain,
Director (SAARC), Foreign
Affairs",Bureaucracy,2004-07-31,4000.0,0.0,Yes,Yes
"Small  brass  water
container",,"Syed  Abrar  Hussain,
Director (SAARC), Foreign
Affairs",Bureaucracy,2004-07-31,1800.0,0.0,Yes,Yes
"Wrist Watch Roberge
in steel 18kt Gold",Watch,"Mr.  Shuja  Shah,  Principal
Secretary  to  the  Prime
Minister",Bureaucracy,2004-08-03,35000.0,3750.0,Yes,Yes
One sword,,"Syed  Anwar  Mahmood,
Secretary  Information  &
Broadcasting",Bureaucracy,2004-08-03,4000.0,0.0,Yes,Yes
One small carpet,Carpet,"Miss.  Rabbani  Khar,
Parliamentary  Secretary,
Economic Affairs Division",PPP,2004-08-10,1000.0,0.0,Yes,Yes
"Book  on  Azerbaijan
Cookery",,"Miss.  Rabbani  Khar,
Parliamentary  Secretary,
Economic Affairs Division",PPP,2004-08-10,0.0,0.0,Yes,Yes
Ceramic plate,,"Miss.  Rabbani  Khar,
Parliamentary  Secretary,
Economic Affairs Division",PPP,2004-08-10,1500.0,0.0,Yes,Yes
"Mobile  Phone  NOKIA
6220",Phone,"R/Admiral  Asaf
Humanyun SI (M)",Military,2004-08-11,0.0,525.0,Yes,Yes
"Mobile  Phone  NOKIA
3100",Phone,"Cdr  M.  Qasim  Janjua,  SI
(M)",Military,2004-08-11,7500.0,0.0,Yes,Yes
"Mobile  Phone  NOKIA
3100",Phone,Captain Khalid Mahmood,Military,2004-08-11,7500.0,0.0,Yes,Yes
"a. One Mobile Phone
Motorola V291
b. One MP-3 Player",Phone,"Lt.  Cdr  M.  Jahanzeb
Ahsan PN",Military,2004-08-11,9700.0,0.0,Yes,Yes
"Mobile  Phone
(Motorola V290)",Phone,"Mr.  Kazim  Altaf  AM
(Tech)",Bureaucracy,2004-08-11,5000.0,0.0,Yes,Yes
"Mobile  Phone
(Motorola V290)",Phone,Mr. Zahid Rizwan (Tech),Bureaucracy,2004-08-11,5000.0,0.0,Yes,Yes
"Mobile  Phone
(Motorola V290)",Phone,"Mr.  Muazam  Hayat  AM
(Tech)",Bureaucracy,2004-08-11,5000.0,0.0,Yes,Yes
"Mobile  Phone
(Motorola V290)",Phone,"Mr.  Hasnain  Ali,  PN  AM
(Tech)",Bureaucracy,2004-08-11,5000.0,0.0,Yes,Yes
"Mobile  Phone
(Motorola V290)",Phone,"Mr.  Aqeel  Rashad  AM
(Tech)",Bureaucracy,2004-08-11,5000.0,0.0,Yes,Yes
"Mobile  Phone
(Motorola V290)",Phone,"Mr.  Saqib  Mahmood  AM
(Tech)",Bureaucracy,2004-08-11,5000.0,0.0,Yes,Yes
Three Piece Tea Set,Crockery,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-08-12,4000.0,0.0,Yes,Yes
"One  Woolen  Carpet
(6x4)",Carpet,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-08-12,7000.0,0.0,Yes,Yes
"One  Radio  and
Recorder",,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-08-12,1800.0,0.0,Yes,Yes
"One  Scenery
Painting",,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-08-12,5000.0,0.0,Yes,Yes
One decoration plate,Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen Mush,2004-08-12,2000.0,0.0,Yes,Yes
One wooden box,,"Mr. Shaukat Aziz, Minister
Finance  and  Economic
Affairs",Gen Mush,2004-08-12,500.0,0.0,Yes,Yes
"One  Jewellery  box
having  one  necklace
and a ring",,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-08-16,195000.0,27750.0,Yes,Yes
"a. One  wrist  watch
Bvlgari
b. One  wrist  watch
Bvlgari",Watch,"Maj  General  Shafatullah
Shah,  Military  Secretary
to President",Military,2004-08-25,85000.0,11250.0,Yes,Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  Wrist  Watch
Bvlgari  (ladies)",Watch,"Mohammad  Ijaz-ul-Haq,
Federal  Minister  for
Religious Affairs",Gen Mush,2004-08-26,85000.0,11250.0,Yes,Yes
One Jewellary box,,"Brig. ®Mian Khalid Habib,
Chief  of  Protocol,  Foreign
Affairs",Military,2004-08-27,1000.0,0.0,Yes,Yes
One Metallic box,,"Col.  Salik  Nawaz  ®,
Deputy  Chief  of  Protocol,
Foreign Affairs",Military,2004-08-30,800.0,0.0,Yes,Yes
One souvenir,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-09-02,0.0,0.0,Yes,Yes
"A  wrist  watch
Concord",Watch,"Col.  Salik  Nawaz,  DCVP,
Foreign Affairs",Military,2004-09-11,30000.0,3000.0,Yes,Yes
"One Wrist  Watch
Chaumat",Watch,"Muhammad  Saeed  Khan,
Deputy  Chief  of  Protocol,
Foreign Affairs",Military,2004-09-13,30000.0,3000.0,Yes,Yes
One Ball Pen,Pen,"Mr.  Tanweer  Khalique,
Protocol  Officer  (Admn  &
Accounts)",Military,2004-09-14,1200.0,0.0,Yes,Yes
One Ball Pen,Pen,"Mohammad  Kurshid,  P.A
to  Chief  of  Protocol,
Foreign Affairs",Military,2004-09-14,1200.0,0.0,Yes,Yes
"One  wrist  watch
Concord",Watch,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,2004-09-14,30000.0,3000.0,Yes,Yes
"One wrist watch Paul
Picot",Watch,"Wife  of  Brig.  Tahir
Mahmud Malik",Military,2004-09-14,50000.0,6000.0,Yes,Yes
"One  wrist  watch
Concord",Watch,"Brig.  Azhar  Mahmood,
Personal  Physician  to  the
Prime Minister",Military,2004-09-14,30000.0,3000.0,Yes,Yes
"One  wrist  watch
Tissot",Watch,"Mr.  Pervaiz  Zahoor,  Chief
Security  Officer  to  the
Prime Minister",Military,2004-09-14,10000.0,0.0,Yes,Yes
One  wrist  watch,Watch,"Sqn.  Ldr.  Anwar  Karim,",Military,2004-09-14,30000.0,3000.0,Amount,Amount
"One  wrist  watch
Tissot",Watch,"Major  Arif  Aziz  Khan,
Security officer",Military,2004-09-14,14000.0,600.0,Yes,Yes
A wrist watch Tissot,Watch,"Capt.  (Retd.)  Abdul
Majeed Niazi,  PRO  to  the
Prime Minister",Military,2004-09-14,10000.0,0.0,Yes,Yes
A wrist watch Tissot,Watch,"Mr.  M.  Hassan,  PS  to  the
Prime Minister",Military,2004-09-14,10000.0,0.0,Yes,Yes
A wrist watch Tissot,Watch,"Mr.  Shahzad  Hussain
LDC,  Prime  Minister
Sectt.",Military,2004-09-14,10000.0,0.0,Yes,Yes
A wrist watch Tissot,Watch,"Mr.  Khalid  Nadeem,
Inspector, Gunman",Police,2004-09-14,14000.0,600.0,Yes,Yes
A wrist watch Tissot,Watch,"Hav.  Abdul  Ghaffar,  SSG
Gunman",Police,2004-09-14,14000.0,600.0,Yes,Yes
A wrist watch Tissot,Watch,"NK,  Sahib  Khan,  SSG
Gunman",Military,2004-09-14,10000.0,0.0,Yes,Yes
A wrist watch Tissot,Watch,"H/C  Muhammad  Bashir,
Gunman",Police,2004-09-14,5500.0,0.0,Yes,Yes
A wrist watch Tissot,Watch,"H/C Gulfraz Ali, Gunman",Police,2004-09-14,14000.0,0.0,Yes,Yes
A wrist watch Tissot,Watch,"Constable  Rab  Nawaz,
Gunman",Police,2004-09-14,5500.0,0.0,Yes,Yes
A wrist watch Tissot,Watch,"Constable  Siraj  Khan,
Gunman",Police,2004-09-14,10000.0,0.0,Yes,Yes
A wrist watch Tissot,Watch,"Sep.  Irfan  ul  Haq,  SSG,
Gunman",Police,2004-09-14,5500.0,0.0,Yes,Yes
A wrist watch Trebor,Watch,"Constable  Miss.  Kalsoom
Khan, Lady Gunman",Police,2004-09-14,45000.0,0.0,Yes,Yes
A wrist watch Trebor,Watch,"Constable  Miss.  Shahzad
Begum, Lady Gunman",Police,2004-09-14,45000.0,0.0,Yes,Yes
A wrist watch Tissot,Watch,"Mr.  M.  Akram,  Nursing
Assistant",Bureaucracy,2004-09-14,14000.0,0.0,Yes,Yes
A wrist watch Tissot,Watch,Mr. M. Pervez Valet,,2004-09-14,14000.0,0.0,Yes,Yes
"a. A  gent’s  wrist
watch Bvlgari
b. A  ladies  wrist
watch Bvlgari",Watch,"Mr.  Sheikh  Rasheed
Ahmed,  Minister  for
Information  and
Broadcasting ",Gen Mush,2004-09-14,85000.0,11250.0,Yes,Yes
"a. A  wrist  watch
gent’s Bvlgari
b. a  ladies  wrist
watch Bvlgari",Watch,"Mr.  Aftab  Ahmed  Khan
Sherpao,  Minister  of
Interior",Gen Mush,2004-09-15,85000.0,11250.0,Yes,Yes
"Wrist  Watch  (Rado
Florence,  Golden
Chain)",Watch,"Shahid  Ali  Seehar,
Protocol  Officer  (V-I),
Foreign Affairs",Bureaucracy,2004-09-17,20000.0,1500.0,Yes,Yes
A wrist Watch Epos,Watch,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,2004-09-20,55000.0,6750.0,Yes,Yes
"a. One book
b. One coin (silver)",,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,2004-09-20,0.0,0.0,Yes,Yes
"One  Tea  Set
(ceramics)",Crockery,"Mr.  Jahangir  Khan,
Tareen,  Minister  for
Industries,  Production
and Special Initiatives",Gen Mush,2004-09-20,1500.0,0.0,Auctioned,"Gift auctioned
for Rs.3,911/-"
"One  wall  hanging
(decoration piece)",Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-09-20,7500.0,0.0,Yes,Yes
One Jewellery Set,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-09-20,227505.0,32626.0,Yes,Yes
"One  wrist  watch
Concord",Watch,"Mr.  Javed  Hafiz,
Additional  Secretary,  M/o
Foreign Affairs",Bureaucracy,2004-09-20,30000.0,3000.0,Yes,Yes
"Wrist  watch  roles
(DAYTONA)",Watch,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-09-21,725000.0,107250.0,Yes,Yes
"A  Flower  Vase  in  a
Wooden Case",Decoration Pieces,"Mr. Muhammad Ilyas Dar,
Joint  Secretary  M/o
Religious Affairs",Gen Mush,2004-09-22,4000.0,0.0,Yes,Yes
Souvenir in a frame,,"Mr.  Salim  Iqbal,  Sr.  Joint",Bureaucracy,2004-09-22,1800.0,0.0,Auctioned,Gift auctioned
"a. One  wrist  watch
Bvlgari
b. One  wrist  watch
Bvlgari",Watch,"Mr.  Habibullah  Waraich,
Minister for defence",Gen Mush,2004-09-27,85000.0,11250.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Mohsin  Ali,
photographer, PID",Media,2004-09-29,18000.0,1200.0,Yes,Yes
"a. One wrist watch
Bvlgari (gents)
b. One wrist watch
Bvlgari (ladies)",Watch,"Mr.  Babar  Khan  Gauri,
Federal  Minister  for  Ports
and Shipping",Gen Mush,2004-09-29,85000.0,11250.0,Yes,Yes
"Model  of  Khana
Kabah",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-09-29,37000.0,5550.0,Yes,Yes
One bag with folder,Bags,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-09-29,1500.0,0.0,Yes,Yes
"Box containing, wrist
watch,  ball  ponts
box  of  gold  green
pen, perfume Deep,
Tashbih,  Key  Chain,
telephone  index,
higher  energy
perfume",Watch,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-09-29,201700.0,28755.0,Yes,Yes
Sword,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-09-29,19760.0,1464.0,Yes,Yes
"One  wrist  watch
Tissot",Watch,"Mr.  Mohsin  Ali,
Photographer, PID",Media,2004-09-29,14000.0,600.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Rafaqat  Hussain,
Engineer PTV",Media,2004-09-30,18000.0,1200.0,Yes,Yes
One  wrist  watch,Watch,"Mr.  Rafaqat  Hussain,",Media,2004-09-30,14000.0,600.0,Amount,Amount
"One  wrist  watch
Officina Del Tempo",Watch,"Ali Imran, Reporter, APP",Media,2004-10-06,18000.0,1200.0,Yes,Yes
"One  wrist  of  Officina
Del temp",,"Mr.  Muzammil  Ahmed
Khan, Controller  PTV
News, Islamabad",Media,2004-10-06,0.0,1200.0,Yes,Yes
Two cigarettes cases,Cigar/Cigarettes,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-10-07,3500.0,0.0,Yes,Yes
One decoration piece,Decoration Pieces,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-10-07,6500.0,0.0,Yes,Yes
One clay bowl,,"General  Parvez
Musharraf,  President  of
Pakistan",Military,2004-10-07,5000.0,0.0,Yes,Yes
"a. One DVD-917V
b. One book
c. Two cds
d. One cup
e. One chadar",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-10-09,4600.0,0.0,Yes,Yes
"One  wrist  watch
Tissot",Watch,"Mr.  Saeed  Akhtar,
Protocol  Assistant,  M/o
Foreign Affairs",Military,2004-10-12,5500.0,0.0,Yes,Yes
"a. One Music CD
b. One  Ball  Point
(Mont Blanc) with
scarf
c. One  Crystal
Decoration Piece",Decoration Pieces,"Mr.  Jahangir  Khan,
Tareen,  Minister  for
Industries,  Production
and Special Initiatives",Gen Mush,2004-10-13,8060.0,0.0,Auctioned,"Gift auctioned
a. for Rs.60/-
b. for
Rs.7,110/-
c. for
Rs.3,611/-"
Ball Pen,Pen,"Col.  Salik  Nawaz®,
Deputy  Chief  of  Protocol,
Foreign Affairs",Military,2004-10-14,1500.0,0.0,Yes,Yes
"One  wrist  watch
Concord",Watch,"Mr.  Riaz  H.  Khokhar,
Foreign Secretary",Gen Mush,2004-10-15,30000.0,3000.0,Yes,Yes
"Model  of  ship
“SAINT GERAN”",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-10-17,8000.0,0.0,Yes,Yes
Pair of Horses,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-10-17,10000.0,0.0,Yes,Yes
"a. Wrist  watch
Piaget
b. Wrist  watch
Chopard
c. Four  bottles  of
scent",Watch,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-10-19,503000.0,73950.0,Yes,Yes
Ceramic flower vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-10-19,650.0,0.0,Yes,Yes
"One  wrist  watch
Tissot",Watch,"Mr.  M.  Fayyaz  Chaudhry,
Foreign  Editor,  APP,
Islamabad",Media,2004-10-20,14000.0,600.0,Yes,Yes
"One  wooden  box
(small)",,"Mr.  Sikandar  Hayat  Khan
Bosan,  Minister  Food,
Agriculture & Livestock",Gen Mush,2004-10-21,300.0,0.0,Auctioned,"Gift auctioned
for Rs.652/-"
"One  concord  wrist
watch",Watch,"Mr.  Ali  Imran  Reporter
APP",Media,2004-10-21,15000.0,750.0,Yes,Yes
Table clock,,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-10-21,1500.0,0.0,Yes,Yes
Decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-10-21,5500.0,0.0,Yes,Yes
"a. One  Wrist  watch
Bvlgari
b. One  Wrist  watch
Bvlgari",Watch,"Mr.  Hamid  Yar  Hiraj,
Minister  for  State  for
Commerce",Gen Mush,2004-10-21,85000.0,11250.0,Yes,Yes
"Mobile  set  Nokia
(7260)",,"Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",Gen Mush,2004-10-22,23000.0,1950.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Muhammad  Younas
Khan,  Chief  Cameraman,
PTV",Media,2004-10-23,18000.0,1200.0,Yes,Yes
Wrist Watch Tissot,Watch,"Mr.  Muhammad  Younas
Khan  Chief  Cameraman
PTV",Media,2004-10-23,5500.0,0.0,Yes,Yes
"One  wrist  watch
(Audmars  Piguet
No.C-7467)",Watch,"Brig.(R)  Mian  Khalid
Habib,  Chief  of  Protocol,
Foreign Affairs",Military,2004-10-24,375000.0,0.0,Auctioned,"Auctioned for
Rs.161,000/-"
"One  wrist  watch
Tissot",Watch,"Mr.  Hassan  Syed,
Reporter PTV",Media,2004-10-25,14000.0,600.0,Yes,Yes
A Ball Point,,"Mr.  Munir  Ahmed,
Director  (P&C),  M/o
Privatization",Gen Mush,2004-10-26,200.0,0.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Javed  Iqbal  Qureshi,
Chief  News  Editor,  Urdu
Service, APPC, Islamabad",Media,2004-10-26,18000.0,1200.0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Sohail  Nasir,  Photo-
Editor, APPC, Islamabad",Media,2004-10-26,18000.0,1200.0,Yes,Yes
